                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
148,0.86153,1.0037,1.2486,0.82811,0.82614,0.88588,0.73905,0.63268,0.58622,1.1055,0.0070159,0.0070159,0.0070159
149,0.86088,1.0001,1.2469,0.82788,0.82735,0.8863,0.73973,0.63192,0.5849,1.1046,0.0070017,0.0070017,0.0070017
150,0.85804,0.99388,1.2422,0.82761,0.82823,0.88716,0.74064,0.63059,0.58251,1.1032,0.0069734,0.0069734,0.0069734
151,0.86053,1.0033,1.2449,0.82715,0.83023,0.88762,0.74132,0.62992,0.58137,1.1025,0.0069593,0.0069593,0.0069593
152,0.86589,1.0011,1.2474,0.82565,0.83109,0.88812,0.74197,0.62936,0.58013,1.1019,0.0069451,0.0069451,0.0069451
153,0.84919,0.98654,1.2345,0.82565,0.83168,0.88864,0.74265,0.62868,0.57889,1.1012,0.006931,0.006931,0.006931
154,0.8593,0.99797,1.2449,0.82617,0.83203,0.88916,0.74315,0.62813,0.57766,1.1005,0.0069169,0.0069169,0.0069169
155,0.85611,0.98957,1.2412,0.82693,0.83266,0.88961,0.74388,0.62735,0.57625,1.0999,0.0069027,0.0069027,0.0069027
156,0.85882,0.99548,1.2418,0.82795,0.83224,0.89055,0.74497,0.62619,0.57385,1.0986,0.0068744,0.0068744,0.0068744
157,0.84745,0.98162,1.235,0.82884,0.83273,0.89111,0.74565,0.62558,0.57268,1.098,0.0068603,0.0068603,0.0068603
158,0.85744,0.99319,1.2428,0.82842,0.83389,0.89156,0.74641,0.62477,0.57148,1.0972,0.0068461,0.0068461,0.0068461
159,0.85538,0.98768,1.237,0.83074,0.83468,0.89279,0.74739,0.62355,0.56907,1.0959,0.0068179,0.0068179,0.0068179
160,0.86162,0.99723,1.2458,0.83124,0.83561,0.89326,0.74802,0.62284,0.56801,1.0953,0.0068037,0.0068037,0.0068037
161,0.84979,0.97983,1.232,0.83229,0.83592,0.89379,0.74882,0.62231,0.56667,1.0947,0.0067896,0.0067896,0.0067896
162,0.84735,0.97769,1.2335,0.83255,0.83629,0.8943,0.74966,0.62168,0.56538,1.0941,0.0067754,0.0067754,0.0067754
163,0.84688,0.97204,1.2277,0.83229,0.83646,0.89488,0.75059,0.62109,0.56414,1.0935,0.0067613,0.0067613,0.0067613
164,0.85398,0.98237,1.239,0.83465,0.83642,0.89586,0.75132,0.61978,0.56164,1.0921,0.006733,0.006733,0.006733
165,0.84992,0.97347,1.2323,0.83637,0.8366,0.89629,0.75178,0.61912,0.56018,1.0914,0.0067189,0.0067189,0.0067189
166,0.85742,0.98411,1.2393,0.83696,0.83792,0.8966,0.75249,0.61841,0.55906,1.0907,0.0067047,0.0067047,0.0067047
167,0.84397,0.96367,1.2294,0.83568,0.8405,0.897,0.75293,0.61778,0.55766,1.0901,0.0066906,0.0066906,0.0066906
168,0.84737,0.97308,1.2313,0.83483,0.84135,0.89744,0.75354,0.61721,0.55658,1.0895,0.0066764,0.0066764,0.0066764
169,0.84159,0.96101,1.2258,0.83559,0.84234,0.8979,0.7542,0.61669,0.55539,1.0889,0.0066623,0.0066623,0.0066623
170,0.84622,0.96304,1.23,0.8359,0.84334,0.89819,0.75471,0.61618,0.55428,1.0883,0.0066481,0.0066481,0.0066481
171,0.8469,0.96147,1.2277,0.83575,0.84442,0.89881,0.75545,0.61543,0.553,1.0875,0.006634,0.006634,0.006634
172,0.8554,0.97686,1.235,0.83525,0.84491,0.89948,0.75598,0.61483,0.55188,1.0869,0.0066199,0.0066199,0.0066199
173,0.84181,0.96738,1.2283,0.8362,0.84448,0.89995,0.75649,0.61417,0.55079,1.0862,0.0066057,0.0066057,0.0066057
174,0.84134,0.9598,1.2269,0.83546,0.84563,0.90041,0.75691,0.61364,0.54941,1.0857,0.0065916,0.0065916,0.0065916
175,0.85094,0.96299,1.2319,0.83687,0.84615,0.90095,0.75748,0.61311,0.54823,1.0852,0.0065774,0.0065774,0.0065774
176,0.84967,0.95732,1.2317,0.8363,0.84767,0.90143,0.75805,0.61257,0.54712,1.0846,0.0065633,0.0065633,0.0065633
177,0.83548,0.94985,1.221,0.83815,0.84804,0.90241,0.75972,0.61125,0.54507,1.0832,0.006535,0.006535,0.006535
178,0.8472,0.95493,1.2317,0.83854,0.8483,0.90287,0.76039,0.61068,0.54402,1.0826,0.0065209,0.0065209,0.0065209
179,0.84275,0.96037,1.2307,0.83837,0.84887,0.90348,0.7609,0.61021,0.54288,1.0821,0.0065067,0.0065067,0.0065067
180,0.83577,0.95339,1.2233,0.84114,0.8488,0.90427,0.76189,0.60907,0.54062,1.081,0.0064784,0.0064784,0.0064784
181,0.84267,0.95673,1.2219,0.84092,0.85006,0.9047,0.76225,0.60863,0.53952,1.0805,0.0064643,0.0064643,0.0064643
182,0.84521,0.94764,1.2234,0.84049,0.85052,0.90519,0.76263,0.60813,0.53836,1.0799,0.0064501,0.0064501,0.0064501
183,0.83556,0.93862,1.2205,0.84187,0.85054,0.9061,0.76386,0.60704,0.536,1.0787,0.0064219,0.0064219,0.0064219
184,0.83811,0.9565,1.2203,0.84334,0.84966,0.90655,0.76449,0.60645,0.53485,1.0781,0.0064077,0.0064077,0.0064077
185,0.84102,0.94793,1.2251,0.84259,0.851,0.90685,0.76499,0.60587,0.53367,1.0775,0.0063936,0.0063936,0.0063936
186,0.83737,0.94198,1.2202,0.84252,0.85138,0.90724,0.76552,0.60535,0.53244,1.077,0.0063794,0.0063794,0.0063794
187,0.83158,0.93247,1.2167,0.84248,0.85348,0.90811,0.76656,0.60432,0.53003,1.0759,0.0063511,0.0063511,0.0063511
188,0.83971,0.95838,1.2244,0.84225,0.85397,0.90845,0.76737,0.60373,0.52868,1.0753,0.006337,0.006337,0.006337
189,0.8406,0.94557,1.2268,0.84172,0.85495,0.90896,0.76788,0.60316,0.52759,1.0747,0.0063229,0.0063229,0.0063229
190,0.8339,0.94757,1.2225,0.8433,0.85493,0.90937,0.7686,0.60249,0.52621,1.074,0.0063087,0.0063087,0.0063087
191,0.83725,0.93127,1.2162,0.84729,0.85321,0.91001,0.76958,0.6016,0.52415,1.073,0.0062804,0.0062804,0.0062804
192,0.83358,0.93653,1.2175,0.8463,0.85364,0.91033,0.77017,0.60107,0.52305,1.0724,0.0062663,0.0062663,0.0062663
